Movie/Content Name,S.No.,Movie /Content (Original Language),Language,Type of Content,Availability,Col B&W,Year  30,No. of Episodes,Length,Resolution,CC Grade,Content Owner 1,Content Owner 2,Content Owner 3,Commence Date,Expiry Date,Genre   101,Director 99,Star Cast  18,Music Director  229,Lyricist  380,Singer   437,Agreement Status,Format,Audio bitrate,Audio codec,Video bitrate,Video codec,Path,-,Size_MB,Framerate_fps
Veer Amar Singh Rathod (1970),,,Hindi,Movie,Yes,COL,1970.0,,02:02:16,640*352,,Cable Master,,,2026-04-01,2027-03-31,"Action,Drama,Biography",Radhakant,"Dev Kumar, Kum Kum, Zeb Rehman, Rahman, Tiwari,",Prem Dhawan,Prem Dhawan,Prem Dhawan,Yes,MPEG-4,96 kbps,AAC LC,543 kbps,AVC,U:\MOVIE MASTER\Veer Amar Singh Rathod (1970)\Veer Amar Singh Rathod (1970).mp4,,561.13,25.0
Veer Babruvahan (1950),,,Hindi,Movie,Yes,B&W,1950.0,,01:59:17,640*480,,Ultra Cable,,,2026-04-01,2027-03-31,Mythological,Nanabhai Bhatt.,"Shashi Kapur, Mridula, Anant Prabhu",Chitragupt,Chitragupt,"Mohammed Rafi, Geeta Roy",Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Veer Babruvahan (1950)\Veer Babruvahan (1950).mp4,,1662.15,25.0
Veer Chitrasal (1971),,,,,,,,,01:50:48,656*480,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,628 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Veer Chitrasal (1971)\Veer Chitrasal (1971).mp4,,603.88,25.0
Veer Ghatotkach (1949),,,Hindi,Movie,Yes,COL,1949.0,,02:07:15,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Mythological,Nanabhai Bhatt,"Shahu Modak, Meena Kumari,Amarnath, Sona Chatterjee, Dalpat, Dinesh, Ghanshyam",S N Tripathi,,,Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Veer Ghatotkach (1949)\Veer Ghatotkach (1949).mp4,,1380.14,25.0
Veerapuram220 (2021),,,Hindi Dubed,Movie,Yes,COL,2021.0,,01:54:56,1280*720,,Eagle,,,2026-04-01,2027-03-31,Thriller / Suspense Thriller,B. Senthil Kumar,"Angaditheru,,Magesh, Megna Ellan, Amira Varma,Jaykumar","Rithish, Sridhar",N. Jayakumar,"Haricharan, Preethi Warrier",Yes,Matroska,,AAC LC-SBR,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Veerapuram220 (2021)\Veerapuram220 (2021).mp4,,1242.88,25.0
Veerey Ki Wedding (2018),,,Hindi,Movie,Yes,COL,2018.0,,02:05:14,1920*816,UA,Shemaroo,,,2026-04-01,2027-03-31,Comedy/Romance,Asshu Trikha,"Pulkit Samrat, Jimmy Shergill, Kriti Kharbanda, Satish Kaushik, Supriya Karnik, Rajesh Bakshi, Yuvika Choudhary.","Meet Bros, Jaidev Kumar, Farzan Faaiz, Ashok Punjabi,","Kumar, Faaiz Anwar, Dr. Devendra Kafir, Ramkesh Jiwanpurwala, Chandan Bakshi, Deepak Noor, Ashok Punjabi","Mika Singh, Sunidhi Chauhan, Navraj Hans, Saloni Thakkar, Deep Money, Neha Kakkar, Meet Bros, Javed Ali, Akanksha Bhandari.",Yes,,,,,,,,,
Veerta (1993),,,Hindi,Movie,Yes,COL,1993.0,,02:29:47,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Action,Shibu Mitra,"Sunny Deol, Jaya Prada, Neena Gupta, Pradeep Kumar,",Bappi Lahiri,Bappi Lahiri,"Alka Yagnik, Amit Kumar,Asha Bhosle, Kumar Sanu,Kavita Krishnamurthy,",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Veerta (1993)\Veerta (1993).ts,,7055.54,
Veeru Ustad (1975),,,Hindi,Movie,Yes,COL,1975.0,,02:08:18,640*352,,Cable Master,,,2026-04-01,2027-03-31,Drama,Jagdeesh Nurula,"Dara Singh Randhawa, Kiran Kumar, Joginder, Jairaj, Padma Khanna",Sonik Omi,Sonik Omi,M G Hashmat,Yes,MPEG-4,96 kbps,AAC LC,545 kbps,AVC,U:\MOVIE MASTER\Veeru Ustad (1975)\Veeru Ustad (1975).mp4,,590.59,25.0
Vicky Donor (2012),,,,,,,,,02:05:29,1280*544,,,,,,,,,,,,,,MPEG-4,60 kbps,AAC LC-SBR,1077 kbps,AVC,U:\MOVIE MASTER\Vicky Donor (2012)\Vicky Donor (2012).mp4,,1023.47,24.0
Videsh (1984),,,,,,,,,02:13:04,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1647 kbps,AVC,U:\MOVIE MASTER\Videsh (1984)\Videsh (1984).mp4,,1695.59,25.0
Vidhata - Tere Khel Hain Nirale (2012),,,Hindi,Movie,Yes,COL,2012.0,,02:26:52,1280*720,,Eros,,,2026-04-01,2027-03-31,Drama,Sanjay Saran,"Ashrita Agarwal, Mukul Nag.Raj Bidya, Manish Mahiwal Gajendra Chauhanm, Sudesh Berry",Madhumay,Madhumay,"Manjeera Ganguly, Sudesh Bhosle, Ritu Pathak, Kunal Ganjawala, Raja Hasan, Pamela Jain",Yes,MPEG-4,253 kbps,AAC LC,2500 kbps,AVC,U:\MOVIE MASTER\Vidhata - Tere Khel Hain Nirale (2012)\Vidhata - Tere Khel Hain Nirale (2012).mp4,,2787.31,25.0
Vidhyaarthi - The Power Of Students (2006),,,,,,,,,02:25:20,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1645 kbps,AVC,U:\MOVIE MASTER\Vidhyaarthi - The Power of Students (2006)\Vidhyaarthi - The Power Of Students (2006).mp4,,1846.51,25.0
Vidrohi (1990),,,,,,,,,02:06:02,1280*720,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,8052 kbps,AVC,U:\MOVIE MASTER\Vidrohi (1990)\Vidrohi (1990).mp4,,7547.85,25.0
Vidyaarthi (2006),,,Hindi,Movie,Yes,COL,2006.0,,0.0951157407407407,1920*800,,Ultra Cable,,,2026-04-01,2027-03-31,Thriller,Rakesh Kakeria,"Jacky Shroff, Paresh Rawal, Mohan Joshi, Tina Ghai",Anand Raaj Anand,Anand Raaj Anand,,Yes,,,,,,,,,
Vighnaharta Shree Siddhivinayak (2009),,,Hindi,Movie,Yes,COL,2009.0,,02:04:48,1920*1080,,Eros,,,2026-04-01,2027-03-31,,Yashwant Ingavale,"Parmit Sethi, Divya Dutta,  Ramesh  Dev, Ashalata",Anil Mohile,,,Yes,MPEG-4,192 kbps,AAC LC,9984 kbps,AVC,U:\MOVIE MASTER\Vighnaharta Shree Siddhivinayak (2009)\Vighnaharta Shree Siddhivinayak (2009).mp4,,9136.2,24.0
Vijaypath Ek Mission (2005),,,Hindi Dubed,Movie,Yes,COL,2005.0,,02:02:51,1280*720,,Eagle,,,2026-04-01,2027-03-31,"Action, Drama",Jayant Paranji,"Nandamuri Balakrishna, Katrina Kaif, Charmy Kaur, Puneet Issar, Mukesh Rishi, Rahul Dev",Mani Sharma,,,Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Vijaypath Ek Mission (2005)\Vijaypath Ek Mission (2005).mp4,,1005.76,25.0
Vikram Dharma  (2017),,https://www.youtube.com/watch?v=4RIBQ81KNRI,Hindi Dubed,Movie,Yes,COL,2017.0,,,,,Eagle,,,2026-04-01,2027-03-31,Romantic Drama,J. Jitendra,"Vikram, Sri Harsha, Lahari, Sishwa, M. S. Narayana",Ramana Ogeti,,,Yes,,,,,,,,,
Vikram Dharma (2017),,,,,,,,,01:55:49,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1379 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\000 Darpan priority\Vikram Dharma (2017)\Vikram Dharma (2017).mp4,,1253.69,23.976
Vikramadithiyan (2014),,,Hindi Dubed,Movie,Yes,COL,2014.0,,02:20:58,1920*1080,,Eagle,,,2026-04-01,2027-03-31,,Lal Jose,"Dulquer Salmaan, Unni Mukundan, Namitha Pramod,",,Vayalar Sarath,Madhu Balakrishana,Yes,Matroska,,AAC LC-SBR,,V_VP9,U:\MOVIE MASTER\Vikramadithiyan (2014)\Vikramadithiyan (2014).mp4,,1351.02,
Vikramarkudu (2006),,,,,,,,,02:15:07,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,876 kbps,AVC,U:\MOVIE MASTER\Vikramarkudu (2006)\Vikramarkudu (2006).mp4,,974.35,25.0
Villai Veeran (2022),,,Hindi,Movie,Yes,COL,2022.0,,0.105578703703704,1920*1080,,Cable Master,,,2026-04-01,2027-03-31,Action,Sudheesh Sankar,"Dileep,Namita Pramod,Kalabhavan Shajon,Saddique&Others",,,,Yes,MPEG-4,317 kbps,AAC LC,10000 kbps,AVC,U:\MOVIE MASTER\Villai Veeran (2022)\Villai Veeran (2022).mp4,,11224.8,24.0
Vinashak - Destroyer (1998),,,Hindi,Movie,Yes,COL,1998.0,,02:32:17,1920*816,V/U,Shemaroo,,,2026-04-01,2027-03-31,"Action, Crime, Drama",Ravi Deewan,"Suniel Shetty, Raveena Tandon, Alok Nath, Danny Denzongpa, Mohan Joshi, Tinu Anand, Om Puri, Mukesh Rishi, Ghanshyam, Satyen Kappu",Viju Shah,Deepak Chaudhary,"Udit Narayan, Roop Kumar Rathod, Sadhna Sargam, Sapna Mukherjee, Udit Narayan, Poornima, Sudesh Bhosle",Yes,MPEG-4,128 kbps,AAC LC,2217 kbps,AVC,U:\MOVIE MASTER\Vinashak - Destroyer (1998)\Vinashak - Destroyer (1998).mp4,,2217.41,25.0
Vinashak Shakti (2014),,,Hindi,Movie,Yes,COL,2014.0,,01:59:49,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,"Action, Crime, Thriller",Raja Desingu,"Vijaya Chiranjeevi, Saina, Niveda Sri, Bose Venkat, Kovai Sarala, Meera Krishnan, Pandiarajan",Muraal,,,Yes,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Vinashak Shakti (2014)\Vinashak Shakti (2014).mp4,,1417.63,25.0
Virasat (1997),,,,,,,,,02:40:18,1280*576,,,,,,,,,,,,,,Matroska,448 kbps,AC3,2230 kbps,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Virasat (1997)\Virasat (1997).mkv,,3072.85,23.976
Vishkanya (1991),,,Hindi,Movie,Yes,COL,1991.0,,02:21:40,540*360,A,Ultra Cable,,,2026-04-01,2027-03-31,"Action, Fantasy, Revenge Drama",Jag Mundhra,"Kunal Goswami, Pooja Bedi, Kabir Bedi, Moon Moon Sen, Satish Kaushik, Goga Kapoor, Ananth Narayan Mahadevan, Akash Khurana, Surendra Pal, Rajesh Vivek, Riya Sen",Bappi Lahiri,Syed Gulrez,"Pankaj Udhas, Penaz Masani, Sharon Prabhakar, Alka Yagnik, Sudesh Bhosle",Yes,MPEG-4,128 kbps,AAC LC,1784 kbps,AVC,U:\MOVIE MASTER\Vishkanya (1991)\Vishkanya (1991).mp4,,1979.4,29.97
Vishnu Puran (1973),,,Hindi,Movie,Yes,COL,1973.0,,02:15:31,1280*720,,Ultra Cable,,,2026-04-01,2027-03-31,Mythological,Shridhar Prasad,"Manish, Shilpi, Ashish Kumar, Shahu Modak, S N Tripathi, Sujata, Leela Mishra",Shrinath Tripathi,B D Mishra,"Asha Bhosle, Mohammed Rafi, Manna Dey, Usha Bhattacharaya, Usha Mangeshkar, Usha Bhattacharaya",Yes,MPEG-4,128 kbps,AAC LC,1515 kbps,AVC,U:\MOVIE MASTER\Vishnu Puran (1973)\Vishnu Puran (1973).mp4,,1596.41,25.0
Vishwa the Heman (2004),,,Hindi Dubed,Movie,Yes,COL,2004.0,,02:24:31,1920*1080,,Eagle,,,2026-04-01,2027-03-31,Romantic Action-Drama.,V.N. Aditya.,"Nagarjuna, Shriya Saran",M. M. Keeravani,Akksar Allahabadi,"Arnab Chakraborty, Shreya Ghoshal, and K.S. Chithra. [1, 2, 3, 4, 5, 6]",Yes,MPEG-4,128 kbps,AAC LC,961 kbps,av01,U:\MOVIE MASTER\Vishwa the Heman (2004)\Vishwa the Heman (2004).mp4,,1131.28,25.0
Vishwanath (1978),,,Hindi,Movie,Yes,COL,1978.0,,0.111076388888889,1920*1088,U,Shemaroo,,,2026-04-01,2027-03-31,"Action,Mystery,Thriller",Subhash Ghai,"Shatrughan Sinha, Reena Roy, Pran, Premnath, Madan Puri, Ranjeet",Rajesh Roshan,"Anjaan, M G Hashmat, Vithalbhai Patel","Asha Bhosle, Kishore Kumar, Lata Mangeshkar, Manna Dey",Yes,MPEG-PS,224 kbps,MPA1L2,8000 kbps,MPEG-2V,U:\MOVIE MASTER\Vishwanath (1978)\Vishwanath (1978).mpg,,9503.94,25.0
Vishwanath..The Power (2023),,,Hindi,Movie,Yes,COL,2023.0,,0.0903587962962963,1280*720,,Cable Master,,,2026-04-01,2027-03-31,,"Samudra V., Jeevitha","Raj Shekhar, Mumaid Khan, Namitha",Chinna,,,Yes,MPEG-4,317 kbps,AAC LC,9994 kbps,AVC,U:\MOVIE MASTER\Vishwanath..The Power (2023)\Vishwanath..The Power (2023).mp4,,9601.53,25.0
Vishwas (1969),,,,,,,,,01:39:26,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1546 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Vishwas (1969)\Vishwas (1969).mp4,,1196.57,30.0
Vishwasghaat (1996),,,,,,,,,02:15:01,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC-SBR,,V_VP9,U:\MOVIE MASTER\Vishwasghaat (1996)\Vishwasghaat (1996).mp4,,761.34,25.0
Vodka Diaries (2018),,,HINDI,Movie,Yes,COL,2018.0,,01:52:45,1920*720,UA,Shemaroo,,,2026-04-01,2027-03-31,Thriller,Kushal Srivastava,"Kay Kay Menon, Raima Sen And Mandira Bedi And Others","Sandesh Shandilya,Harry Anand,Parvaaz Band","Khalid Ahamed And Kashif Iqbal,Aalok Shrivastav,Harry Anand ","Khalid Ahamed,Ustad Rashid Khan & Rekha Bhardwaj, Labh Janjua & Shalmali Kholgade,Harry Anand",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Vodka Diaries (2018)\Vodka Diaries (2018).mkv,,1793.61,23.976
Waarrior Savitri (2016),,,,,,,,,01:43:54,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1593 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Waarrior Savitri (2016)\Waarrior Savitri (2016).mp4,,1284.16,25.0
Wahan Ke Log (1967),,,,,,,,,02:17:27,1920*1080,,,,,,,,,,,,,,Matroska,,AAC LC,,V_VP9,U:\MOVIE MASTER\Wahan Ke Log (1967)\Wahan Ke Log (1967).mp4,,919.95,25.0
Waiting Lounge (Total Episodes - 35) (2016),,,HINDI,Movie,Yes,COL,2016.0,35.0,,,,Shemaroo,,,2026-04-01,2027-03-31,Comedy / Parody / Talk-Show.,,Dr. Sanket Bhosale,,,,Yes,,,,,,,,,
Wake Of Death (2004),,,,,,,,,01:24:41,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1642 kbps,AVC,U:\MOVIE MASTER\Wake Of Death (2004)\Wake Of Death (2004).mp4,,1076.09,25.0
Wake Up India (2013),,,Hindi,Movie,Yes,COL,2013.0,,0.0822337962962963,1920*1080,,Eros,,,2026-04-01,2027-03-31,Drama,Babloo Seshadri,"Chirag Patil, Sai Tamhankar, Maj Joshi, Aanjjan Srivastav, Mukesh Tiwari, Mohan Joshi, Milind Gunaji, Anant Jog, Adi Irani, Mushtaq Khan, Atul Parchure, Asrani, Anjula Singh Mahor[110]",Shankar Sahney,Shankar Sahney,"Sunidhi Chauhan, Shankar Sahney,Divya Mudgal,",Yes,MPEG-4,253 kbps,AAC LC,2500 kbps,AVC,U:\MOVIE MASTER\Wake Up India (2013)\Wake Up India (2013).mp4,,2240.98,25.0
Wanted Dead Or Alive (1984),,,,,,,,,02:19:25,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,3652 kbps,AVC,U:\MOVIE MASTER\Wanted Dead or Alive (1984)\Wanted Dead Or Alive (1984).mp4,,3775.57,25.0
Wanted Dead or Alive (1984),,,Hindi,Movie,Yes,COL,1984.0,,,,,Shemaroo,,,2026-04-01,2027-03-31, Action,Ambrish Singal,"Mithun Chakraborty, Tina Munim, Mazhar Khan, Asrani, Om Shiv Puri, Krishan Dhawan, Mac Mohan, Shammi Kapoor, Heena Kausar, Deepti Naval",Bappi Lahiri,Anjaan,"Kishore Kumar, Asha Bhosle, Bappi Lahiri",Yes,,,,,,,,,
Waqt Hamara Hai (1993),,,Hindi,Movie,Yes,COL,1993.0,,02:27:30,1920*1080,U/A,Shemaroo,,,2026-04-01,2027-03-31,"Action, Comedy, Romance",Bharat Rangachary,"Akshay Kumar, Ayesha Jhulka, Suniel Shetty, Mamta Kulkarni, Raami Reddy, Anupam Kher,Aruna Irani, Tiku Talsania, Mahesh Anand, Viju Khote, Aroon Bakshi, Shobha Khote, Guddi Maruti, Sudhir Dalvi,",Nadeem Shravan,"Qateel Shifai, Sameer","Mohammed Aziz, Kumar Sanu, Udit Narayan, Vinod Rathod, Alka Yagnik, Mitali Chowdhury",Yes,MPEG-4,128 kbps,AAC LC,1864 kbps,AVC,U:\MOVIE MASTER\Waqt Hamara Hai (1993)\Waqt Hamara Hai (1993).mp4,,2106.11,25.0
Waqt Ki Awaz (1988),,,Hindi,Movie,Yes,COL,1988.0,,0.108796296296296,854*480,V/U,Shemaroo,,,2026-04-01,2027-03-31," Action, Crime, Drama",K. Bapaiah,"Mithun Chakraborty, Sridevi, Moushmi Chatterjee, Aruna Irani, Kader Khan, Gulshan Grover, Shakti Kapoor, Asrani",Bappi Lahiri,Indeevar,"Asha Bhosle, Kishore Kumar, Mohammed Aziz, Alisha Chinai, Sudesh Bhosle",Yes,MPEG-4,2304 kbps,in24,62426 kbps,apch,U:\MOVIE MASTER\Waqt Ki Awaz (1988)\Waqt Ki Awaz (1988).mov,,72195.11,25.0
Waqt Ki Deewar (1981),,,Hindi,Movie,Yes,COL,1981.0,,0.108703703703704,1920*1088,,Cable Master,,,2026-04-01,2027-03-31,"Action, Crime, Drama, Romance",Ravi Tandon,"Sanjeev Kumar Jeetendra, Neetu Singh Amjad Khan&Others","Pyarelal, Laxmikant Kudalkar",Anjaan,"Kishore Kumar, Asha Bhosle,Mohammed Rafi, Manna Dey",Yes,MPEG-4,128 kbps,AAC LC,1497 kbps,AVC,U:\MOVIE MASTER\Waqt Ki Deewar (1981)\Waqt Ki Deewar (1981).mp4,,1826.99,25.0
War (2019),,,,,,,,,02:33:06,1920*800,,,,,,,,,,,,,,MPEG-4,384 kbps,AAC LC,2250 kbps,AVC,U:\MOVIE MASTER\War (2019)\War (2019).mp4,,2890.01,24.0
War On Terror - Kandahar (2012),,,,,,,,,02:00:09,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1818 kbps,AVC,U:\MOVIE MASTER\War on Terror - Kandahar (2012)\War On Terror - Kandahar (2012).mp4,,1678.01,25.0
War on Terror - Kandahar (2012),,,Hindi,Movie,Yes,COL,2012.0,,,,U,Shemaroo,,,2026-04-01,2027-03-31,,,,,,,Yes,,,,,,,,,
Wardat (1981),,,Hindi,Movie,Yes,COL,1981.0,,0.0925694444444444,640*480,,Cable Master,,,2026-04-01,2027-03-31,,Ravikant Nagaich,"Mithun Chakravarty, Kajal Kiran , Jagdeep",Bappi Lahiri,"Ramesh Pant,Faruk Kaiser","Bappi Lahiri, Usha Uthup,Shailendra Singh,Annette Pinto,Usha Uthup,Mohammed Rafi, Usha Mangeshkar",Yes,MPEG-4,192 kbps,AAC LC,5000 kbps,AVC,U:\MOVIE MASTER\Wardat (1981)\Wardat (1981).mp4,,4803.39,25.0
Waris Shah - Ishq Daa Waaris (2006),,,Hindi,Movie,Yes,COL,2006.0,,02:12:38,1280*720,,Ultra Cable,,,2026-04-01,2027-03-31,Drama History,Manoj Punj.,"Gurdas Maan, Juhi Chawla, Sushant Singh, Divya Dutta, Mukesh Rishi",Jaidev Kumar,Jaidev Kumar,"Alka Yagnik,Gurdas Maan,Kavita Krishnamurty,Krishna,Bhavdeep Jaipurwale",Yes,MPEG-4,128 kbps,AAC LC,1228 kbps,AVC,U:\MOVIE MASTER\Waris Shah - Ishq Daa Waaris (2006)\Waris Shah - Ishq Daa Waaris (2006).mp4,,1289.04,25.0
Warning (2013),,,Hindi,Movie,Yes,COL,2013.0,,0.0744791666666667,1920*1080,,Eros,,,2026-04-01,2027-03-31,"Adventure, Thriller",Gurmmeet Singh,"Santosh Barmola, Suzana Rodrigues, Manjari Fadnis, Varun Sharma, Jitin Gulati, Sumit Suri, Madhurima Tuli[99]","Meet Bros Anjjan, Sharib Sabri, Toshi Sabri, John Stewart","Meet Bros Anjjan, Sharib Sabri, Toshi Sabri, John Stewart","Sonu Nigam, James, Mika Singh, Poorbi, Manjari Fadnis, Madhurima Tuli, John Stewart, Sharib Sabri, Toshi Sabri, Aditi Paul, Roshini, Parichay, Sheryas",Yes,MPEG-4,96 kbps,AAC LC,1335 kbps,AVC,U:\MOVIE MASTER\Warning (2013)\Warning (2013).mp4,,1057.24,29.97
Warrior Savitri (2016),,,HINDI,Movie,Yes,COL,2016.0,,0.0842013888888889,1920*806,A,Shemaroo,,,2026-04-01,2027-03-31,Action / Suspense / Drama.,Param Gill.,"Niharica Raizada, Lucy Pinder, Rajat Barmecha, Om Puri, Karamveer Choudhary And Otehrs",Param Gill,Param Gill.,"Rahat Fateh Ali Khan, Shaan, Labh Janjua, and Neeta Sharma. [1, 2, 3, 4, 5, 6]",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Warrior Savitri (2016)\Warrior Savitri (2016).mkv,,3566.8,25.0
Watan Se Door (1968),,,,,,,,,02:13:30,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2215 kbps,AVC,U:\MOVIE MASTER\Watan Se Door (1968)\Watan Se Door (1968).mp4,,2243.03,25.0
Wedding Pullav (2015),,,Hindi,Movie,Yes,COL,2015.0,,0.0856134259259259,1920*1080,,Eros,,,2026-04-01,2027-03-31,Romance/Comedy,Binod Pradhan,"Rishi Kapoor,  Karan Grover, Satish  Kaushik,  Kitu  Gidwani,  Parmeet Sethi",Salim–Sulaiman,Salim–Sulaiman,"Salim Merchant, Shreya Ghoshal, Raj Pandit, Apeksha Dandekar, Sunidhi Chauhan,Vipul Mehta, Arijit Singh",Yes,MPEG-TS,192 kbps,AAC LC,5873 kbps,AVC,U:\MOVIE MASTER\Wedding Pullav (2015)\Wedding Pullav (2015).ts,,5737.72,
Wee Dragons,,,,,,,,,01:09:01,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,15000 kbps,AVC,U:\MOVIE MASTER\#KIDS\Wee Dragons\Wee Dragons.mp4,,7563.41,23.976
Welcome (2007),,,Hindi,Movie,Yes,COL,2007.0,,02:29:27,1920*816,U/A,Shemaroo,,,2026-04-01,2027-03-31,"Comedy, Romance",Anees Bazmee,,"Sajid, Wajid, Anand Raj Anand, Himesh Reshammiya","Anand Raj Anand, Anjaan Sagari, Ibrahim Ashq, Sameer, Shabbir Ahmed","Akruti Kakkar, Anand Raj Anand, Himesh Reshammiya, Kalpana, Krishna, Shaan, Shankar Mahadevan, Shreya Ghoshal, Shweta Pandit, Soumya Raoh, Wajid",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Welcome (2007)\Welcome (2007).mkv,,7042.1,
Welcome Back (2015),,,,,,,,,02:29:06,1920*816,,,,,,,,,,,,,,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Welcome Back (2015)\Welcome Back (2015).mkv,,8361.14,24.0
Welcome Back Pinocchio,,,,,,,,,01:23:51,1920*1080,,,,,,,,,,,,,,MPEG-4,317 kbps,AAC LC,14908 kbps,AVC,U:\MOVIE MASTER\#KIDS\Welcome Back Pinocchio\Welcome Back Pinocchio.mp4,,9133.66,25.0
What If You Face Such Government Officer   Paanch Namune    Shemaroo Comedywalas,,,,,,,,,09:01:00,1920*1080,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,2851 kbps,AVC,U:\MOVIE MASTER\000 Non Registered\000 Logo Blur\Paanch Namune Comedy (2016)\What If You Face Such Government Officer   Paanch Namune    Shemaroo Comedywalas.mp4,,192.46,25.0
Wishlist (2020),,,HINDI,Movie,Yes,COL,2020.0,,01:24:30,1920*792,UA,Shemaroo,,,2026-04-01,2027-03-31,Drama,Rahhat Shah Kazmi,"Hina Khan, Jitendra Rai, Franqois D Artemare & Others","Ibrar Malik, Mumin Beigh, Mir, Mohit Pathak","Ibrar Malik, Rahat Kazmi, Mohit Pathak","Ibrar Malik, Mumin Beigh, Rahul Netra Negi, Ashwini V, Mohit Pathak, Rutikka Brahmbhatt",Yes,Matroska,,AAC LC,,V_MPEG4/ISO/AVC,U:\MOVIE MASTER\Wishlist (2020)\Wishlist (2020).mp4,,1191.04,24.0
With Luv... Tumhaara (2006),,,Hindi,Movie,Yes,COL,2006.0,,0.0765740740740741,1920*1080,,Ultra Cable,,,2026-04-01,2027-03-31,Romantic Drama,Kamal Nathani,"Pravin Dabbas, Preeti Jhangaini, Anupam Varma, Pankaj Berry, Nakul Vaid",Sudeep Banerjee,Sudeep Banerjee,"Shreya Ghoshal, Shaan, Sudeep Banerjee, Kailash Kher",Yes,MPEG-4,128 kbps,AAC LC,761 kbps,AVC,U:\MOVIE MASTER\With Luv... Tumhaara (2006)\With Luv... Tumhaara (2006).mp4,,702.75,25.0
Wo India Ka Shakespea R (2018),,,Hindi,Movie,Yes,COL,2018.0,,,,,Eros,,,2026-04-01,2027-03-31,"Romance, Thriller",Suresh Mandal,"Raj  Aryan, Yogita Rajput, Raza Murad, Meena Singh",Sachin Pathak,Sachin Pathak,"Kumar Sanu, Shahid Mallya, Abhijeet Mukherjee · Aira Sarkar",Yes,,,,,,,,,
Woh 7 Din  (1983),,,,,,,,,02:19:45,1280*720,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,1213 kbps,AVC,U:\MOVIE MASTER\Woh 7 Din (1983)\Woh 7 Din  (1983).mp4,,1344.21,25.0
Woh 7 Din (1983),,,HINDI,Movie,Yes,COL,1983.0,,0.0970486111111111,640*416,U,Shemaroo,,,2026-04-01,2027-03-31,"Drama,Romance",Bapu,"Anil Kapoor, Padmini Kolhapure, Asha Lata, Naseruddin Shah, Raju Shreshta",Laxmikant Pyarelal,"Anand Bakshi, Jainendra Jain","Lata Mangeshkar, Shabbir Kumar, Kishore Kumar, Anuradha Paudwal, Suresh Wadkar, Kavita Krishnamurthy, Anil Kapoor, Padmini Kolhapure, Master Raju, Asha Bhosle",Yes,,,,,,,,,
Woh Din Aayega (1987),,,,,,,,,01:51:31,656*480,,,,,,,,,,,,,,MPEG-4,128 kbps,AAC LC,253 kbps,AVC,U:\MOVIE MASTER\Woh Din Aayega (1987)\Woh Din Aayega (1987).mp4,,309.25,25.0
